id,question,answer,topic,difficulty
1,Write a SQL query to perform a LEFT JOIN between students and courses on the course_id column.,SELECT * FROM students LEFT JOIN courses ON students.course_id=courses.course_id,JOIN,Hard
2,Write a SQL query to perform a INNER JOIN between sales and products on the product_id column.,SELECT * FROM sales INNER JOIN products ON sales.product_id=products.product_id,JOIN,Medium
3,Write a SQL query to select all records from sales where revenue >= 54.,SELECT * FROM sales WHERE revenue>=54,WHERE,Hard
4,Write a SQL query to count the number of records in the books table.,SELECT COUNT(*) FROM books,AGGREGATE FUNCTIONS,Easy
5,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
6,Write a SQL query to select all records from flights where price != 63.,SELECT * FROM flights WHERE price!=63,WHERE,Hard
7,Write a SQL query to select all records from sales where quantity = 56.,SELECT * FROM sales WHERE quantity=56,WHERE,Easy
8,Write a SQL query to calculate the total sum of location in the departments table.,SELECT SUM(location) FROM departments,AGGREGATE FUNCTIONS,Medium
9,Write a SQL query to retrieve all records from the departments table.,SELECT * FROM departments,SELECT,Easy
10,Write a SQL query to perform a RIGHT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees RIGHT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
11,Write a SQL query to find the avg for each dept_id in the departments table.,"SELECT dept_id,AVG(budget) FROM departments GROUP BY dept_id",GROUP BY,Medium
12,Write a SQL query to select all records from students where course < 59.,SELECT * FROM students WHERE course<59,WHERE,Medium
13,Write a SQL query to retrieve all records from books sorted by publish_year in descending order.,SELECT * FROM books ORDER BY publish_year DESC,ORDER BY,Medium
14,Write a SQL query to retrieve all records from books sorted by author in descending order.,SELECT * FROM books ORDER BY author DESC,ORDER BY,Medium
15,Write a SQL query to find the avg for each grade in the students table.,"SELECT grade,AVG(course) FROM students GROUP BY grade",GROUP BY,Medium
16,Write a SQL query to perform a INNER JOIN between employees and departments on the dept_id column.,SELECT * FROM employees INNER JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Medium
17,Write a SQL query to find the sum for each category in the products table.,"SELECT category,SUM(product_id) FROM products GROUP BY category",GROUP BY,Medium
18,Write a SQL query to find the sum for each last_name in the customers table.,"SELECT last_name,SUM(email) FROM customers GROUP BY last_name",GROUP BY,Medium
19,Write a SQL query to select all records from departments where manager <= 35.,SELECT * FROM departments WHERE manager<=35,WHERE,Hard
20,Write a SQL query to find the maximum value of department in the employees table.,SELECT MAX(department) FROM employees,AGGREGATE FUNCTIONS,Easy
21,Write a SQL query to select distinct values of revenue and quantity from sales.,"SELECT DISTINCT revenue,quantity FROM sales",SELECT,Hard
22,Write a SQL query to calculate the average of destination in the flights table.,SELECT AVG(destination) FROM flights,AGGREGATE FUNCTIONS,Medium
23,Write a SQL query to find the avg for each sale_id in the sales table.,"SELECT sale_id,AVG(sale_id) FROM sales GROUP BY sale_id",GROUP BY,Medium
24,Write a SQL query to find the avg for each price in the flights table.,"SELECT price,AVG(origin) FROM flights GROUP BY price",GROUP BY,Medium
25,Write a SQL query to find the avg for each location in the departments table.,"SELECT location,AVG(dept_id) FROM departments GROUP BY location",GROUP BY,Medium
26,Write a SQL query to find the minimum value of course in the students table.,SELECT MIN(course) FROM students,AGGREGATE FUNCTIONS,Easy
27,Write a SQL query to select distinct values of price and product_name from products.,"SELECT DISTINCT price,product_name FROM products",SELECT,Hard
28,Write a SQL query to perform a LEFT JOIN between orders and customers on the customer_id column.,SELECT * FROM orders LEFT JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Hard
29,Write a SQL query to retrieve all records from the customers table.,SELECT * FROM customers,SELECT,Easy
30,Write a SQL query to select all records from courses where course_name < 40.,SELECT * FROM courses WHERE course_name<40,WHERE,Medium
31,Write a SQL query to find the count for each email in the customers table.,"SELECT email,COUNT(*) FROM customers GROUP BY email",GROUP BY,Easy
32,Write a SQL query to retrieve all records from the employees table.,SELECT * FROM employees,SELECT,Easy
33,Write a SQL query to select all records from employees where emp_name >= 76.,SELECT * FROM employees WHERE emp_name>=76,WHERE,Hard
34,Write a SQL query to select all records from students where age < 10.,SELECT * FROM students WHERE age<10,WHERE,Medium
35,Write a SQL query to find the min for each product_id in the products table.,"SELECT product_id,MIN(category) FROM products GROUP BY product_id",GROUP BY,Medium
36,Write a SQL query to select all records from sales where revenue = 80.,SELECT * FROM sales WHERE revenue=80,WHERE,Easy
37,Write a SQL query to retrieve all records from customers sorted by city in ascending order.,SELECT * FROM customers ORDER BY city ASC,ORDER BY,Easy
38,Write a SQL query to perform a LEFT JOIN between employees and departments on the dept_id column.,SELECT * FROM employees LEFT JOIN departments ON employees.dept_id=departments.dept_id,JOIN,Hard
39,Write a SQL query to find the min for each order_id in the orders table.,"SELECT order_id,MIN(order_date) FROM orders GROUP BY order_id",GROUP BY,Medium
40,Write a SQL query to select all records from products where price = 17.,SELECT * FROM products WHERE price=17,WHERE,Easy
41,Write a SQL query to perform a INNER JOIN between orders and customers on the customer_id column.,SELECT * FROM orders INNER JOIN customers ON orders.customer_id=customers.customer_id,JOIN,Medium
42,Write a SQL query to select the revenue and sale_date columns from the sales table.,"SELECT revenue,sale_date FROM sales",SELECT,Medium
43,Write a SQL query to select all records from customers where first_name = 8.,SELECT * FROM customers WHERE first_name=8,WHERE,Easy
44,Write a SQL query to retrieve all records from orders sorted by order_id in ascending order.,SELECT * FROM orders ORDER BY order_id ASC,ORDER BY,Easy
45,Write a SQL query to select all records from sales where revenue >= 36.,SELECT * FROM sales WHERE revenue>=36,WHERE,Hard
46,Write a SQL query to retrieve all records from students sorted by student_id in ascending order.,SELECT * FROM students ORDER BY student_id ASC,ORDER BY,Easy
47,Write a SQL query to find the avg for each student_id in the students table.,"SELECT student_id,AVG(course) FROM students GROUP BY student_id",GROUP BY,Medium
48,Write a SQL query to retrieve all records from sales sorted by revenue in ascending order.,SELECT * FROM sales ORDER BY revenue ASC,ORDER BY,Easy
49,Write a SQL query to retrieve all records from students sorted by age in descending order.,SELECT * FROM students ORDER BY age DESC,ORDER BY,Medium
50,Write a SQL query to perform a LEFT JOIN between sales and products on the product_id column.,SELECT * FROM sales LEFT JOIN products ON sales.product_id=products.product_id,JOIN,Hard
51,Write a SQL query to calculate the average of name in the students table.,SELECT AVG(name) FROM students,AGGREGATE FUNCTIONS,Medium
52,Write a SQL query to retrieve all records from products sorted by stock in descending order.,SELECT * FROM products ORDER BY stock DESC,ORDER BY,Medium
53,Write a SQL query to select all records from products where product_name = 19.,SELECT * FROM products WHERE product_name=19,WHERE,Easy
54,Write a SQL query to retrieve all records from books sorted by book_id in descending order.,SELECT * FROM books ORDER BY book_id DESC,ORDER BY,Medium
55,Write a SQL query to perform a INNER JOIN between students and courses on the course_id column.,SELECT * FROM students INNER JOIN courses ON students.course_id=courses.course_id,JOIN,Medium
56,Write a SQL query to retrieve all records from customers sorted by customer_id in ascending order.,SELECT * FROM customers ORDER BY customer_id ASC,ORDER BY,Easy
57,Write a SQL query to find the avg for each grade in the students table.,"SELECT grade,AVG(student_id) FROM students GROUP BY grade",GROUP BY,Medium
58,Write a SQL query to find the count for each emp_id in the employees table.,"SELECT emp_id,COUNT(*) FROM employees GROUP BY emp_id",GROUP BY,Easy
59,Write a SQL query to find the avg for each product_id in the sales table.,"SELECT product_id,AVG(product_id) FROM sales GROUP BY product_id",GROUP BY,Medium
60,Write a SQL query to find the count for each quantity in the sales table.,"SELECT quantity,COUNT(*) FROM sales GROUP BY quantity",GROUP BY,Easy
